Year,Solar Installed,Solar Missing,Solar Missing Fraction,Wind onshore Installed,Wind onshore Missing,Wind onshore Missing Fraction,Wind offshore Installed,Wind offshore Missing,Wind offshore Missing Fraction
2000,114.0,0.0,0.0,6097.0,0.0,0.0,0.0,0.0,0.0
2001,176.0,0.0,0.0,8738.0,0.0,0.0,0.0,0.0,0.0
2002,296.0,0.0,0.0,11976.0,0.0,0.0,0.0,0.0,0.0
2003,435.0,0.0,0.0,14381.0,0.0,0.0,0.0,0.0,0.0
2004,1105.0,0.0,0.0,16419.0,0.0,0.0,0.0,0.0,0.0
2005,2056.0,0.0,0.0,18248.0,0.0,0.0,0.0,0.0,0.0
2006,2899.0,0.0,0.0,20474.0,0.0,0.0,0.0,0.0,0.0
2007,4170.0,0.0,0.0,22116.0,0.0,0.0,0.0,0.0,0.0
2008,6120.0,0.0,0.0,22794.0,0.0,0.0,0.0,0.0,0.0
2009,10566.0,0.0,0.0,25697.0,0.0,0.0,35.0,0.0,0.0
2010,18006.0,0.0,0.0,26823.0,0.0,0.0,80.0,0.0,0.0
2011,25916.0,0.0,0.0,28524.0,0.0,0.0,188.0,0.0,0.0
2012,34077.0,0.0,0.0,30711.0,0.0,0.0,268.0,0.0,0.0
2013,36710.0,5528.0,0.15059,32969.0,0.0,0.0,508.0,0.0,0.0
2014,37900.0,12499.0,0.32979,37620.0,0.0,0.0,994.0,0.0,0.0
2015,39224.0,19336.0,0.49296,41297.0,0.0,0.0,3283.0,0.0,0.0
2016,40679.0,26042.0,0.64018,45283.0,0.0,0.0,4152.0,0.0,0.0
2017,42293.0,32589.0,0.77055,50174.0,0.0,0.0,5406.0,0.0,0.0
2018,45158.0,37885.0,0.83894,52328.0,2737.0,0.0523,6393.0,267.0,0.04176
2019,48864.0,42340.0,0.86649,53187.0,6769.0,0.12727,7555.0,359.0,0.04752
2020,53671.0,45694.0,0.85137,54414.0,10433.0,0.19173,7787.0,1381.0,0.17735
2021,59373.0,48153.0,0.81103,56046.0,13692.0,0.2443,7787.0,2635.0,0.33838
2022,66480.0,49207.0,0.74018,58521.0,16108.0,0.27525,8129.0,3547.0,0.43634
